symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
CHOLAFIN.NS,0.5697657310636715,0.037119120359420776,0.002264352748170495,0.8519912958145142,0.006404530256986618,1
PIDILITIND.NS,0.5686483807396143,0.012696787714958191,0.00236761337146163,0.8809331655502319,0.002450032625347376,2
CGPOWER.NS,0.5669639306608587,0.035230688750743866,0.0024873060174286366,0.8453928232192993,0.003568097483366728,3
PFC.NS,0.5657810446573421,0.022495044395327568,0.003753859316930175,0.8596972823143005,0.006359228864312172,4
BRITANNIA.NS,0.5577822292689234,0.014307767152786255,0.0029609319753944874,0.8431580066680908,0.002217888133600354,5
POWERGRID.NS,0.5511024717707187,0.02843523770570755,0.0031662271358072758,0.8022608160972595,0.0029740245081484318,6
ADANIPORTS.NS,0.5447749465703964,0.01457354985177517,0.002868153154850006,0.7993532419204712,0.004601852037012577,7
ADANIENT.NS,0.5285059701418504,0.018897611647844315,0.0019684049766510725,0.7384581565856934,0.003749328199774027,8
TECHM.NS,0.5258123875595629,0.008981632068753242,0.0021247686818242073,0.7428572177886963,0.0034222991671413183,9
BEL.NS,0.5257616332266479,0.013787205331027508,0.0011069742031395435,0.7352628111839294,0.00263945572078228,10
