symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
IOC.NS,0.5911821505054832,0.014872422441840172,0.004300376400351524,0.9550776481628418,0.003653105814009905,1
AXISBANK.NS,0.5838520945049822,0.011818804778158665,0.0023536989465355873,0.9327689409255981,0.003216683631762862,2
CANBK.NS,0.5796770458808168,0.021097581833600998,0.002921157283708453,0.9070478677749634,0.0032844659872353077,3
ADANIGREEN.NS,0.5750041290186345,0.02055862359702587,0.007991614751517773,0.8972605466842651,0.008051292970776558,4
SHREECEM.NS,0.5591763599775732,0.01123330369591713,0.0029893023893237114,0.8519327640533447,0.001994738122448325,5
BPCL.NS,0.5561867145821452,0.006541247945278883,0.0028126686811447144,0.8480467200279236,0.0028282757848501205,6
TATASTEEL.NS,0.5519815139705315,0.021231140941381454,0.003265855135396123,0.8148960471153259,0.003194349817931652,7
KOTAKBANK.NS,0.5501824628561736,0.008161244913935661,0.002238605171442032,0.8252984881401062,0.0019107202533632517,8
INDIGO.NS,0.5480483154999092,0.005173626821488142,0.002147427061572671,0.8220769762992859,0.0024306888226419687,9
LT.NS,0.5447575154714286,0.01316367369145155,0.0033332137390971184,0.8016400337219238,0.0033787053544074297,10
