symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
PIDILITIND.NS,0.6056396645144559,0.010237683542072773,0.0011614683317020535,1.0063101053237915,0.0037013678811490536,1
KOTAKBANK.NS,0.5762127416906878,0.011479170061647892,0.0024166458752006292,0.9078202247619629,0.0020641847513616085,2
ABB.NS,0.5732469935435801,0.018897779285907745,0.0021683410741388798,0.8877946138381958,0.004104230087250471,3
AXISBANK.NS,0.5676972839864902,0.010007518343627453,0.0018097286811098456,0.880790650844574,0.0018424417357891798,4
HCLTECH.NS,0.5578380314342212,0.02612393908202648,0.0008145453757606447,0.8254427313804626,0.004302528221160173,5
ULTRACEMCO.NS,0.5535892826272174,0.010071376338601112,0.0014276092406362295,0.8332967162132263,0.0017075621290132403,6
SIEMENS.NS,0.5488380739232525,0.025862330570816994,0.0019570484291762114,0.796934187412262,0.004041326232254505,7
BAJAJ-AUTO.NS,0.5472294347709976,0.012398307211697102,0.0018364990828558803,0.8094035387039185,0.0026575808878988028,8
INFY.NS,0.5461807621992193,0.018191464245319366,0.0018212253926321864,0.7981684803962708,0.004357371479272842,9
BEL.NS,0.5429277250077575,0.018375223502516747,0.0020876373164355755,0.7873464226722717,0.0037713071797043085,10
