symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
SBIN.NS,0.5854958731215447,0.016240030527114868,0.0014902292750775814,0.9314897656440735,0.0019949921406805515,1
GRASIM.NS,0.584761371021159,0.004039130639284849,0.0023211075458675623,0.9461401700973511,0.0019251914927735925,2
ICICIPRULI.NS,0.5807371072703973,0.0026246055494993925,0.0023188276682049036,0.9346097111701965,0.001730834017507732,3
SHREECEM.NS,0.5742199002183043,0.00872308760881424,0.0015379692194983363,0.9039735198020935,0.003627616446465254,4
RELIANCE.NS,0.56954323023092,0.0052328589372336864,0.0016161256935447454,0.8931164145469666,0.0012067529605701566,5
WIPRO.NS,0.5645665060030296,0.009253149852156639,0.0038704315666109324,0.8734212517738342,0.0022001247853040695,6
POWERGRID.NS,0.5617828998714685,0.003012662520632148,0.002911166287958622,0.8715039491653442,0.0017837410559877753,7
JSWSTEEL.NS,0.5597013483522459,0.016506971791386604,0.0033571512904018164,0.8470190167427063,0.002491943771019578,8
TVSMOTOR.NS,0.5586614113068208,0.011725862510502338,0.0019076194148510695,0.848477840423584,0.0019538914784789085,9
VEDL.NS,0.5511578891659156,0.00332091236487031,0.0021862604189664125,0.8349513411521912,0.0026491128373891115,10
