symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
TRENT.NS,0.5978149597067386,0.016300031915307045,0.003908625338226557,0.9748917818069458,0.0031637565698474646,1
HINDUNILVR.NS,0.5796688493166584,0.0021651394199579954,0.0007063570083118975,0.9300490021705627,0.001342074596323073,2
M&M.NS,0.5794590649893507,0.05889162793755531,0.0014648295473307371,0.8544728755950928,0.010267156176269054,3
JSWSTEEL.NS,0.5629565438604913,0.019871648401021957,0.0017025748966261744,0.8517288565635681,0.003431598888710141,4
BPCL.NS,0.556151924614096,0.011119455099105835,0.0009647075203247368,0.8399785161018372,0.0027059316635131836,5
ONGC.NS,0.5543905558995903,0.01500642579048872,0.0016661910340189934,0.8296261429786682,0.0021767739672213793,6
CIPLA.NS,0.5502034454373643,0.007001242134720087,0.0019443815108388662,0.826620876789093,0.0018068690551444888,7
TITAN.NS,0.5438322965637781,0.002117045922204852,0.001319894683547318,0.8112714886665344,0.0015535446582362056,8
RELIANCE.NS,0.5360877370228991,0.0023880659136921167,0.0007407029625028372,0.7845157384872437,0.0012412861688062549,9
ASIANPAINT.NS,0.5333304029074497,0.006242384668439627,0.0010505846003070474,0.7704954147338867,0.0013308622874319553,10
