symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
HCLTECH.NS,0.546624859329313,0.007037803065031767,0.00218201894313097,0.8148811459541321,0.002258352003991604,1
LT.NS,0.5464548557763919,0.010684841312468052,0.0026579711120575666,0.8099277019500732,0.0032026811968535185,2
TRENT.NS,0.5417718516429886,0.0370732806622982,0.0026715591084212065,0.7591466903686523,0.004096216056495905,3
INDIGO.NS,0.5360670031281187,0.00941168237477541,0.0033311902079731226,0.777672290802002,0.0032599475234746933,4
NAUKRI.NS,0.5348627822939306,0.04257574677467346,0.002685998100787401,0.728794276714325,0.0044218068942427635,5
HINDALCO.NS,0.5322710859123617,0.00817268155515194,0.002389919478446245,0.7657299637794495,0.0034090883564203978,6
EICHERMOT.NS,0.5315508013824001,0.005773649550974369,0.0035269849468022585,0.7676647901535034,0.0029290912207216024,7
GRASIM.NS,0.5297694982844404,0.02263658307492733,0.0019299456616863608,0.7376461625099182,0.0026393532752990723,8
ADANIPORTS.NS,0.52885384906549,0.017701638862490654,0.003266101935878396,0.7425100803375244,0.0035848512779921293,9
ZYDUSLIFE.NS,0.52794013323728,0.02863393910229206,0.0029108647722750902,0.7245327234268188,0.00423038424924016,10
