symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
DRREDDY.NS,0.6031790568726136,0.00947558507323265,0.002440303796902299,1.0004030466079712,0.003937600180506706,1
HCLTECH.NS,0.5967104359995573,0.006972980219870806,0.003003160934895277,0.9827406406402588,0.002478344365954399,2
ADANIGREEN.NS,0.5810240844264627,0.046928953379392624,0.0028453487902879715,0.8770203590393066,0.004899180494248867,3
SUNPHARMA.NS,0.5757263526320457,0.020306093618273735,0.0013258680701255798,0.8933389186859131,0.0028865360654890537,4
BOSCHLTD.NS,0.5687862618826329,0.0060688224621117115,0.001437605358660221,0.8893000483512878,0.0021925538312643766,5
TECHM.NS,0.5517485147574916,0.00970205757766962,0.0034371011424809694,0.8296627402305603,0.0027920487336814404,6
TITAN.NS,0.5515908749657683,0.025936530902981758,0.001588455750606954,0.8056426644325256,0.002350184367969632,7
ADANIPOWER.NS,0.5501476253848523,0.005615751259028912,0.006599848624318838,0.8329375982284546,0.004263699520379305,8
M&M.NS,0.5472183185629547,0.018575014546513557,0.013021147809922695,0.8123155236244202,0.004697796888649464,9
ONGC.NS,0.5427889961283654,0.01969664730131626,0.0076860650442540646,0.790720522403717,0.005038534756749868,10
