symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
AXISBANK.NS,0.599731541390065,0.012079449370503426,0.00130128872115165,0.9843004941940308,0.002648347755894065,1
EICHERMOT.NS,0.5831373683176935,0.006154101807624102,0.0026805782690644264,0.9382663369178772,0.002363878767937422,2
INDUSINDBK.NS,0.58195448507322,0.026295708492398262,0.001945935538969934,0.9067332744598389,0.0032793863210827112,3
BAJAJHLDNG.NS,0.5706512372940779,0.010071417316794395,0.005135927349328995,0.893878161907196,0.004569563083350658,4
SBILIFE.NS,0.5629196499241516,0.017163962125778198,0.002349842106923461,0.8558633923530579,0.002515827538445592,5
ULTRACEMCO.NS,0.5428459147457033,0.049613360315561295,0.00577588053420186,0.7491111159324646,0.005271188914775848,6
SIEMENS.NS,0.5420518086291849,0.03381161764264107,0.00940107274800539,0.7711582779884338,0.005498516373336315,7
LT.NS,0.5415832647820934,0.005156198516488075,0.001367558492347598,0.799770176410675,0.0035323433112353086,8
INDHOTEL.NS,0.5402443732134998,0.02354729175567627,0.003232470713555813,0.7726506590843201,0.0029708179645240307,9
RELIANCE.NS,0.5289244708837941,0.011016636155545712,0.0014496243093162775,0.7498423457145691,0.0017832635203376412,10
