symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
ICICIPRULI.NS,0.6159287616610527,0.013119116425514221,0.0025876015424728394,1.038191318511963,0.0033422440756112337,1
DMART.NS,0.5857899517286569,0.023211514577269554,0.004300253931432962,0.9259847402572632,0.004775442648679018,2
JINDALSTEL.NS,0.5782178722321987,0.014636104926466942,0.002325117588043213,0.910203218460083,0.0038970953319221735,3
TVSMOTOR.NS,0.5755731095094234,0.01577814482152462,0.0014495761133730412,0.8989890813827515,0.0031807597260922194,4
BAJAJ-AUTO.NS,0.565458965464495,0.018593845888972282,0.002341982675716281,0.8624134063720703,0.002456498797982931,5
ASIANPAINT.NS,0.564676158351358,0.005130990408360958,0.001636786269955337,0.8770493268966675,0.0023780139163136482,6
DLF.NS,0.5440752218477427,0.01337980106472969,0.002922198735177517,0.7986665368080139,0.0038037600461393595,7
SHREECEM.NS,0.5409385763574391,0.010127957910299301,0.002736973110586405,0.7923616170883179,0.002112580230459571,8
ULTRACEMCO.NS,0.5297269043978303,0.0065871053375303745,0.00411489000543952,0.7610884308815002,0.0023377074394375086,9
DRREDDY.NS,0.5282530557597056,0.0216324832290411,0.002165400655940175,0.734165608882904,0.004264103714376688,10
