symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
DMART.NS,0.5914214903488755,0.006555683445185423,0.002574276179075241,0.9652383327484131,0.0017915861681103706,1
AXISBANK.NS,0.5752362112049013,0.0046789697371423244,0.0022802487947046757,0.913495659828186,0.0014022660907357931,2
ADANIPOWER.NS,0.5645093563012777,0.025306014344096184,0.004313803277909756,0.8522703051567078,0.0030971618834882975,3
RELIANCE.NS,0.5509506927803158,0.012184251099824905,0.003367910161614418,0.8236245512962341,0.002221704926341772,4
HDFCLIFE.NS,0.5496982090175151,0.016121985390782356,0.0031323283910751343,0.8139637112617493,0.0029347087256610394,5
SBIN.NS,0.5425381327513605,0.003765041008591652,0.0028907698579132557,0.8063311576843262,0.0021838087122887373,6
SUNPHARMA.NS,0.5385180371114984,0.008000235073268414,0.002323019551113248,0.7867161631584167,0.0016855064313858747,7
ADANIENT.NS,0.5369852728210389,0.006706164684146643,0.003940780647099018,0.7849501371383667,0.0017497696680948138,8
WIPRO.NS,0.5341411880683153,0.005420164670795202,0.002609595190733671,0.7758533358573914,0.002545098541304469,9
BRITANNIA.NS,0.5236920171999372,0.00607629818841815,0.0014535897644236684,0.738991916179657,0.0016707543982192874,10
