symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
BANKBARODA.NS,0.542926216754131,0.02388887293636799,0.001976033439859748,0.7798782587051392,0.003121879417449236,1
HEROMOTOCO.NS,0.541829308506567,0.016004662960767746,0.0018708171555772424,0.7866289615631104,0.004234277177602053,2
SBILIFE.NS,0.5413863209076226,0.004180694930255413,0.0023375200107693672,0.8013843297958374,0.002232983475551009,3
LTIM.NS,0.5384038345189764,0.013957982882857323,0.002040567109361291,0.7781093716621399,0.002863282337784767,4
HDFCLIFE.NS,0.5301871216157451,0.021967433393001556,0.0030064762104302645,0.7410069704055786,0.0025557787157595158,5
SBIN.NS,0.5294668907765299,0.011611915193498135,0.0045206849463284016,0.7539277672767639,0.0034252034965902567,6
ADANIPOWER.NS,0.529290278069675,0.014376996085047722,0.00502176396548748,0.7501533627510071,0.003586800768971443,7
MARUTI.NS,0.5281536753987893,0.0038664794992655516,0.0022719723638147116,0.7576289176940918,0.001688823220320046,8
IRFC.NS,0.5236778944730759,0.01695527695119381,0.0037489905953407288,0.7267349362373352,0.003192104399204254,9
VEDL.NS,0.5211180556565522,0.016793103888630867,0.0040108822286129,0.7186802625656128,0.0028235085774213076,10
