symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
APOLLOHOSP.NS,0.5947559382067993,0.0020064369309693575,0.0026921287644654512,0.9825366735458374,0.0018162446795031428,1
CHOLAFIN.NS,0.5823776042205282,0.0033591666724532843,0.0009942703181877732,0.9377740621566772,0.0023180439602583647,2
BAJAJ-AUTO.NS,0.5755759465275332,0.00949507113546133,0.002324713161215186,0.9082511067390442,0.0015030056238174438,3
GRASIM.NS,0.5714143784251065,0.005834964569658041,0.002239333000034094,0.8991739749908447,0.0019494375446811318,4
TATACONSUM.NS,0.5665785115445032,0.01367664709687233,0.0014887165743857622,0.8718482255935669,0.0018568150699138641,5
PNB.NS,0.5619517900981008,0.01339577417820692,0.00201228354126215,0.8573238849639893,0.002348697278648615,6
M&M.NS,0.5616183621692471,0.022737903520464897,0.001085761352442205,0.8428297638893127,0.003881938522681594,7
TATAPOWER.NS,0.5573357357643545,0.01367426011711359,0.0020800596103072166,0.8416334986686707,0.0028009277302771807,8
INDUSINDBK.NS,0.5566033083363435,0.015451452694833279,0.0011252787662670016,0.835867702960968,0.003426256123930216,9
ITC.NS,0.5556334029126446,0.0033191621769219637,0.0006990041001699865,0.8483847975730896,0.0010767700150609016,10
