symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
BRITANNIA.NS,0.5880201647523791,0.0048126401379704475,0.0017700721509754658,0.9554204344749451,0.002597606275230646,1
BANKBARODA.NS,0.5850259896134957,0.014423606917262077,0.002925335196778178,0.9337804913520813,0.0043359617702662945,2
JSWSTEEL.NS,0.5723500300548039,0.003930165898054838,0.001922411727719009,0.9045156240463257,0.003005474340170622,3
APOLLOHOSP.NS,0.5575599571573548,0.022621670737862587,0.001567389233969152,0.8299383521080017,0.0023655840195715427,4
ADANIPORTS.NS,0.5544465410057455,0.0055589089170098305,0.001956865657120943,0.8427001237869263,0.0021931305527687073,5
GRASIM.NS,0.5441207251278684,0.017814194783568382,0.0037988030817359686,0.7937822937965393,0.0029631895013153553,6
PNB.NS,0.5413737640017644,0.018239790573716164,0.0021283600945025682,0.7823878526687622,0.0034140897914767265,7
WIPRO.NS,0.5398342612432315,0.015990423038601875,0.0015308673027902842,0.7796578407287598,0.003901150543242693,8
HINDUNILVR.NS,0.535815016599372,0.009993057698011398,0.002920410130172968,0.7756463885307312,0.007204944267868996,9
INFY.NS,0.5352712502935901,0.016230203211307526,0.0031932920683175325,0.7657905220985413,0.0038775380235165358,10
