symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
IOC.NS,0.5703638302162289,0.014444943517446518,0.0021756086498498917,0.8841284513473511,0.003151766723021865,1
ADANIENT.NS,0.5686340584885329,0.02423800528049469,0.004084204789251089,0.8672137260437012,0.006597729399800301,2
WIPRO.NS,0.5512555444263854,0.008319569751620293,0.0015853737713769078,0.8280110955238342,0.0021690165158361197,3
BOSCHLTD.NS,0.5464284129440784,0.006064692046493292,0.006085285916924477,0.8194270730018616,0.0027159566525369883,4
SIEMENS.NS,0.5439290321432053,0.020509041845798492,0.002829628996551037,0.7885810136795044,0.004044493660330772,5
PNB.NS,0.5423287119716406,0.014930055476725101,0.002499215304851532,0.79035484790802,0.003622000338509679,6
VEDL.NS,0.5381720811012201,0.007572198752313852,0.0017888577422127128,0.7855995297431946,0.0026379527989774942,7
ADANIGREEN.NS,0.5361797589343041,0.037356749176979065,0.004161947872489691,0.741618812084198,0.004594666883349419,8
ULTRACEMCO.NS,0.5350190572324209,0.01856069080531597,0.0016876062145456672,0.7603368759155273,0.003294174326583743,9
TITAN.NS,0.5312539058271795,0.0030879226978868246,0.003950709011405706,0.7706798315048218,0.0018585693323984742,10
