symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
ADANIPOWER.NS,0.6231539308093488,0.048561565577983856,0.005163918249309063,1.0175949335098267,0.009383968077600002,1
VEDL.NS,0.5859866335056723,0.01403433084487915,0.0020626140758395195,0.9366389513015747,0.002994049107655883,2
AXISBANK.NS,0.5750349417561664,0.014747470617294312,0.002234612824395299,0.8993544578552246,0.0024436069652438164,3
SHREECEM.NS,0.5584668263792991,0.0176094938069582,0.0018020346760749817,0.8398787975311279,0.002073234412819147,4
BOSCHLTD.NS,0.5527879344765096,0.010348428972065449,0.0015685264952480793,0.8303970694541931,0.0023419049102813005,5
RELIANCE.NS,0.5438448052038438,0.013142772950232029,0.0011019088560715318,0.7963942289352417,0.0019586128182709217,6
DABUR.NS,0.5309097445802763,0.004423672333359718,0.001456201309338212,0.7652571201324463,0.0016344182658940554,7
GODREJCP.NS,0.5257626615581102,0.004806132055819035,0.0013210909673944116,0.7474551200866699,0.002564019290730357,8
IRFC.NS,0.5191871712915599,0.03696835786104202,0.003868228755891323,0.6852009892463684,0.005192541051656008,9
JSWENERGY.NS,0.5190373014309443,0.00695035420358181,0.0018444099696353078,0.7227016091346741,0.0035968159791082144,10
