symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
SIEMENS.NS,0.6005614893045277,0.06962663680315018,0.0019820178858935833,0.9110181331634521,0.0049963174387812614,1
NESTLEIND.NS,0.5980812058434821,0.01298762857913971,0.00134051323402673,0.977627694606781,0.003101782174780965,2
ASIANPAINT.NS,0.5837023129453882,0.009208578616380692,0.0015060983132570982,0.9349023699760437,0.002731489948928356,3
TITAN.NS,0.5703578128712251,0.0054152291268110275,0.001368753844872117,0.895341157913208,0.0023671116214245558,4
BEL.NS,0.5660145280882716,0.03270372748374939,0.0029425229877233505,0.8460526466369629,0.004067347850650549,5
IRFC.NS,0.5600957233691588,0.015027718618512154,0.0022090834099799395,0.8491578698158264,0.0026776015292853117,6
JSWENERGY.NS,0.5538385484367608,0.06000971421599388,0.003590468317270279,0.7697060108184814,0.005403420422226191,7
CIPLA.NS,0.5487169652013109,0.015738992020487785,0.002071110298857093,0.8101423382759094,0.0031786710023880005,8
TATASTEEL.NS,0.5391145073343069,0.014814580790698528,0.0022330344654619694,0.7795286178588867,0.003941258881241083,9
ABB.NS,0.530801908718422,0.08376467972993851,0.003992969635874033,0.6616464257240295,0.008048583753407001,10
