symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
VEDL.NS,0.5877654794836417,0.022320803254842758,0.003191762836650014,0.9326489567756653,0.004000523127615452,1
HEROMOTOCO.NS,0.5571205098181963,0.0041753072291612625,0.008403655141592026,0.859904944896698,0.00363960862159729,2
ADANIPOWER.NS,0.5516287927515805,0.021813055500388145,0.0020674923434853554,0.8117460608482361,0.0020172675140202045,3
ASIANPAINT.NS,0.5423562653828412,0.03146504983305931,0.0044954740442335606,0.7703962922096252,0.004620284307748079,4
ZYDUSLIFE.NS,0.5403122494928538,0.009054921567440033,0.002586967311799526,0.7915545701980591,0.002620750805363059,5
DLF.NS,0.5358198260422795,0.013846008107066154,0.004079844336956739,0.7716845870018005,0.003181523410603404,6
DABUR.NS,0.5305458304239437,0.018992040306329727,0.0020358820911496878,0.7451992630958557,0.007253663148730993,7
GAIL.NS,0.5282427160069347,0.04211804270744324,0.004651954397559166,0.709303617477417,0.0036998013965785503,8
LT.NS,0.5209440110833383,0.025253666564822197,0.001456397701986134,0.7042648792266846,0.0020614287350326777,9
TATAPOWER.NS,0.5205407988745718,0.021834248676896095,0.00251379469409585,0.7085374593734741,0.0037829361390322447,10
