symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
SBILIFE.NS,0.6041155744343996,0.03380051255226135,0.019431594759225845,0.9880828261375427,0.017175670713186264,1
HINDALCO.NS,0.5856390082277357,0.07316584885120392,0.013864529319107533,0.8684400916099548,0.016801469027996063,2
ITC.NS,0.5854768971912563,0.04473036527633667,0.010139531455934048,0.9020887017250061,0.01331470999866724,3
CGPOWER.NS,0.5773336876183748,0.07626700401306152,0.015769485384225845,0.8385257720947266,0.02304239012300968,4
ADANIGREEN.NS,0.5757533298805355,0.08041159063577652,0.0216060820966959,0.8335683941841125,0.020365094766020775,5
IRFC.NS,0.5639917084947228,0.03362350910902023,0.023488091304898262,0.8586291074752808,0.023519279435276985,6
INDHOTEL.NS,0.5606184976175428,0.0590507946908474,0.021309921517968178,0.8113038539886475,0.03403340280056,7
DRREDDY.NS,0.5598076982423663,0.016325753182172775,0.012911280617117882,0.8571692705154419,0.011425036936998367,8
ONGC.NS,0.5588213920593261,0.09004776179790497,0.01906418800354004,0.7617384791374207,0.02607116848230362,9
DMART.NS,0.5499361471273005,0.03399059548974037,0.014833052642643452,0.802632749080658,0.0224875807762146,10
