symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
RECLTD.NS,0.5928571943193675,0.15833748877048492,0.04897739365696907,0.8140513896942139,0.0398300401866436,1
VEDL.NS,0.5867516726255416,0.11992254108190536,0.016285181045532227,0.8122273683547974,0.02190881222486496,2
HDFCBANK.NS,0.5752090116031467,0.012505071237683296,0.012634770013391972,0.9133247137069702,0.01179234217852354,3
PNB.NS,0.5667755460366606,0.06872402131557465,0.01812872104346752,0.8157485127449036,0.01549370214343071,4
BOSCHLTD.NS,0.5626296401955186,0.06857247650623322,0.010534723289310932,0.7945368885993958,0.014553895220160484,5
PFC.NS,0.5554311452433467,0.07345881313085556,0.03120492957532406,0.7846969962120056,0.036457184702157974,6
HAL.NS,0.5505314232781529,0.04422282427549362,0.019833335652947426,0.7959743142127991,0.014483107253909111,7
ADANIPORTS.NS,0.5483767620287836,0.04270099475979805,0.013327944092452526,0.784315824508667,0.016589315608143806,8
ULTRACEMCO.NS,0.5388644274324178,0.021766172721982002,0.00955689325928688,0.7767500877380371,0.014142218977212906,9
COALINDIA.NS,0.5379657622426748,0.016561586409807205,0.01836993917822838,0.7895070314407349,0.013593636453151703,10
