symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
IRFC.NS,0.6371593140996992,0.052864447236061096,0.012232315726578236,1.0656107664108276,0.019755268469452858,1
INDUSINDBK.NS,0.6037461694329976,0.06024925038218498,0.018944676965475082,0.9510995745658875,0.018055066466331482,2
NESTLEIND.NS,0.5854724530130625,0.04202291741967201,0.015864018350839615,0.9114083051681519,0.013843470253050327,3
SIEMENS.NS,0.5730460726656019,0.03641442209482193,0.010930460877716541,0.8725314736366272,0.018693653866648674,4
TATASTEEL.NS,0.5651455482468009,0.03767785057425499,0.008313743397593498,0.8418951034545898,0.015128636732697487,5
M&M.NS,0.5558650761842727,0.0882541611790657,0.021992862224578857,0.7572042346000671,0.019155176356434822,6
PFC.NS,0.5514500815421343,0.10276120901107788,0.03745606914162636,0.7386080622673035,0.04382942616939545,7
MOTHERSON.NS,0.5404950857162475,0.06862626224756241,0.03346088528633118,0.7436094880104065,0.02063107118010521,8
HDFCBANK.NS,0.5320065108127892,0.04741599038243294,0.009606198407709599,0.7197399139404297,0.007906445302069187,9
SUNPHARMA.NS,0.5290007039904594,0.02753637172281742,0.01123211532831192,0.7378526329994202,0.010384744964540005,10
