symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
RECLTD.NS,0.5560435222461819,0.093004010617733,0.026821071282029152,0.7562941312789917,0.023683730512857437,1
SIEMENS.NS,0.5497981460765005,0.01883956789970398,0.017229625955224037,0.8247706890106201,0.01614861749112606,2
HAL.NS,0.5459409490227699,0.0486769862473011,0.01876235008239746,0.7736628651618958,0.02152859792113304,3
ICICIGI.NS,0.5455176604911685,0.021063189953565598,0.008713534101843834,0.7990214824676514,0.007365827914327383,4
HCLTECH.NS,0.5433670876547694,0.023975582793354988,0.01379130594432354,0.7930474877357483,0.010989688336849213,5
ADANIPOWER.NS,0.5422532076016069,0.05639730393886566,0.028678061440587044,0.7609923481941223,0.013886738568544388,6
CHOLAFIN.NS,0.5407579885795712,0.0496891625225544,0.020899126306176186,0.7571735382080078,0.01453391183167696,7
SUNPHARMA.NS,0.5276555180549621,0.024505531415343285,0.00691194087266922,0.7330896258354187,0.011983754113316536,8
MOTHERSON.NS,0.5215053447522223,0.05136851221323013,0.012721088714897633,0.6825808882713318,0.014850118197500706,9
TATAMOTORS.NS,0.5153327898122371,0.050709955394268036,0.015624587424099445,0.6657872796058655,0.019003715366125107,10
