symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
SIEMENS.NS,0.5960291419178247,0.047464173287153244,0.021080438047647476,0.9445586800575256,0.02165701799094677,1
MARUTI.NS,0.5955875651910901,0.04027262702584267,0.009160557761788368,0.9407556056976318,0.017031125724315643,2
INDIGO.NS,0.5524824367836118,0.06760229170322418,0.017421746626496315,0.7688934803009033,0.016164537519216537,3
GRASIM.NS,0.5478613954037428,0.029474183917045593,0.012658145278692245,0.7995638847351074,0.022145332768559456,4
HDFCBANK.NS,0.5447055608965456,0.03595249354839325,0.00768135953694582,0.775429904460907,0.0085992943495512,5
AXISBANK.NS,0.5429386756382882,0.018603472039103508,0.013320456258952618,0.7983114123344421,0.008585210889577866,6
HAL.NS,0.5396172046661376,0.04287279024720192,0.024435922503471375,0.7659962177276611,0.012943309731781483,7
SHREECEM.NS,0.5324167687445879,0.042672328650951385,0.012907866388559341,0.7307339906692505,0.016430582851171494,8
ONGC.NS,0.522511699795723,0.047376636415719986,0.011372461915016174,0.6899092793464661,0.010588557459414005,9
HEROMOTOCO.NS,0.5219391143880785,0.048344243317842484,0.013537260703742504,0.6888753175735474,0.01303484570235014,10
