symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
BHARTIARTL.NS,0.5714663000777364,0.03889669105410576,0.011443162336945534,0.8644685745239258,0.01150459423661232,1
ICICIPRULI.NS,0.5560654576867818,0.037980012595653534,0.014299463480710983,0.8172109723091125,0.010752352885901928,2
SIEMENS.NS,0.55512669198215,0.03659592196345329,0.03148568794131279,0.833113431930542,0.013036465272307396,3
CIPLA.NS,0.5425334740430117,0.03114759363234043,0.018846865743398666,0.7857616543769836,0.014524530619382858,4
CHOLAFIN.NS,0.54070890173316,0.06420528143644333,0.01565100997686386,0.7324069738388062,0.015438915230333805,5
ONGC.NS,0.538528299704194,0.08825331181287766,0.016559232026338577,0.6939824819564819,0.012578187510371208,6
TITAN.NS,0.5360188663005829,0.031020095571875572,0.010170526802539825,0.7555399537086487,0.013625460676848888,7
PFC.NS,0.5340782519429922,0.06581011414527893,0.03180919215083122,0.7243232131004333,0.03217393904924393,8
TATAPOWER.NS,0.5272051751613617,0.04477972909808159,0.02111281454563141,0.7187570929527283,0.02105754427611828,9
HINDALCO.NS,0.524986170604825,0.06143135577440262,0.012689683586359024,0.6807351112365723,0.014434230513870716,10
