symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
RECLTD.NS,0.5722819704562425,0.1251973807811737,0.03994378820061684,0.7806205153465271,0.03631621226668358,1
GAIL.NS,0.5555990757420659,0.03609410673379898,0.02691943384706974,0.8307908773422241,0.018470965325832367,2
HINDUNILVR.NS,0.5513910077512264,0.012181137688457966,0.0068140216171741486,0.8285425305366516,0.009247930720448494,3
IOC.NS,0.5485815726220608,0.03494223207235336,0.018578551709651947,0.80059415102005,0.012066996656358242,4
DABUR.NS,0.5477348356507719,0.02306821383535862,0.011197569780051708,0.8062227368354797,0.014237255789339542,5
JINDALSTEL.NS,0.5468389514833688,0.03882334381341934,0.025332678109407425,0.7963647246360779,0.02527100034058094,6
ABB.NS,0.5395657606422901,0.030931709334254265,0.018195226788520813,0.7755054831504822,0.014079476706683636,7
IRFC.NS,0.5207895087078214,0.036505475640296936,0.025142276659607887,0.7124333381652832,0.020484205335378647,8
BPCL.NS,0.5156049318611622,0.03877636417746544,0.019845061004161835,0.6868263483047485,0.01647127978503704,9
HDFCBANK.NS,0.515089968778193,0.031645067036151886,0.011234121397137642,0.6860072612762451,0.012092108838260174,10
