symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
INDUSINDBK.NS,0.6074467342346906,0.03618989512324333,0.01990256831049919,0.9964718222618103,0.019363924860954285,1
ICICIGI.NS,0.5863211808726191,0.03219328448176384,0.01188269816339016,0.9233622550964355,0.01169956661760807,2
CHOLAFIN.NS,0.5646684387698769,0.03480696678161621,0.01670198328793049,0.8525208234786987,0.02730686031281948,3
HINDUNILVR.NS,0.5601613071747124,0.028298012912273407,0.009725631214678288,0.8391993045806885,0.010525650344789028,4
SHREECEM.NS,0.55095269754529,0.03348003327846527,0.01273898035287857,0.8046079277992249,0.013270868919789791,5
TCS.NS,0.5503814158961177,0.0693933293223381,0.017128339037299156,0.759208619594574,0.0265884380787611,6
BPCL.NS,0.5494994601234793,0.04899314418435097,0.022463737055659294,0.7888044118881226,0.01455584354698658,7
SIEMENS.NS,0.5481941366568207,0.04970123991370201,0.01642577536404133,0.7774712443351746,0.017772631719708443,8
M&M.NS,0.542254850640893,0.03308694809675217,0.015070158988237381,0.7784703969955444,0.020773151889443398,9
COALINDIA.NS,0.5391966916620732,0.051330212503671646,0.017786256968975067,0.74666827917099,0.02091202326118946,10
