symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
IRFC.NS,0.6107673839665949,0.07873798161745071,0.014660303480923176,0.9455676078796387,0.026571784168481827,1
BHARTIARTL.NS,0.6036591678857803,0.05251510441303253,0.007599204778671265,0.949776291847229,0.008698315359652042,2
ONGC.NS,0.6004147892817855,0.07258746773004532,0.01671460084617138,0.9213139414787292,0.03051440417766571,3
GRASIM.NS,0.5959888190962375,0.0308468546718359,0.013681170530617237,0.9591814279556274,0.0198373980820179,4
PFC.NS,0.5863928446546197,0.07357949763536453,0.029336677864193916,0.8858734965324402,0.04754260554909706,5
HEROMOTOCO.NS,0.5651855735108255,0.04659777134656906,0.014516731724143028,0.8363382816314697,0.014513760805130005,6
BAJAJHLDNG.NS,0.5618760565295815,0.026179838925600052,0.014983506873250008,0.8529972434043884,0.01898350566625595,7
MOTHERSON.NS,0.5552213301882147,0.08121051639318466,0.02259702794253826,0.7650541067123413,0.01450992003083229,8
TATASTEEL.NS,0.5459333373233676,0.029833441600203514,0.010309798642992973,0.7903096675872803,0.013726840727031231,9
SBILIFE.NS,0.5406475462019443,0.026173720136284828,0.01641225814819336,0.7836724519729614,0.01999257504940033,10
