symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
RELIANCE.NS,0.5530484198592602,0.02005566470324993,0.012760299257934093,0.8295141458511353,0.009046949446201324,1
DIVISLAB.NS,0.5504837818443775,0.04346652701497078,0.010117851197719574,0.7871084213256836,0.0118957394734025,2
GODREJCP.NS,0.5330456878989935,0.0460677295923233,0.01562673971056938,0.73102205991745,0.010694703087210655,3
CHOLAFIN.NS,0.5327606896869839,0.03546253964304924,0.015064439736306667,0.7436500191688538,0.019441032782197,4
ICICIPRULI.NS,0.5292368424125016,0.034490253776311874,0.012967676855623722,0.7311034798622131,0.025766005739569664,5
LT.NS,0.5263481449335814,0.02615508809685707,0.018446486443281174,0.7380668520927429,0.021188274025917053,6
SHREECEM.NS,0.5248058088123798,0.02798595279455185,0.011665768921375275,0.7237038612365723,0.012114488519728184,7
DABUR.NS,0.5240401713177562,0.040933866053819656,0.015819942578673363,0.7080420255661011,0.012910526245832443,8
LODHA.NS,0.5219672730192542,0.072838194668293,0.02545495145022869,0.668228268623352,0.019402645528316498,9
ZYDUSLIFE.NS,0.5201515562832355,0.03657090291380882,0.026974014937877655,0.7120513319969177,0.020612720400094986,10
