symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
BEL.NS,0.5851624976843595,0.050457242876291275,0.02042190358042717,0.9036872386932373,0.016825851052999496,1
M&M.NS,0.5755007356405257,0.022707495838403702,0.03384621441364288,0.9219053387641907,0.016872987151145935,2
SIEMENS.NS,0.561624442320317,0.04069112241268158,0.01381514873355627,0.8316417932510376,0.014652268029749393,3
LTIM.NS,0.5605062780901789,0.04347187280654907,0.019884547218680382,0.8302763104438782,0.02167126163840294,4
ADANIENT.NS,0.555211428925395,0.04131787642836571,0.017886381596326828,0.8135006427764893,0.01658710092306137,5
IOC.NS,0.55302473641932,0.02089589647948742,0.018869485706090927,0.8344240784645081,0.0162065289914608,6
MOTHERSON.NS,0.5521222110837698,0.036147456616163254,0.01599031314253807,0.8082010746002197,0.018765650689601898,7
ADANIPORTS.NS,0.5510103879496455,0.03182182461023331,0.011829843744635582,0.8061020374298096,0.016513757407665253,8
COALINDIA.NS,0.5495775268413127,0.056445490568876266,0.008702416904270649,0.7653668522834778,0.011715144850313663,9
SBIN.NS,0.5485606998205185,0.017950190231204033,0.009885378181934357,0.8144874572753906,0.010578279383480549,10
