symbol,momentum_score,trend_strength,directional_consistency,momentum_persistence,volatility,rank
BAJAJ-AUTO.NS,0.589443395473063,0.03260665014386177,0.019443662837147713,0.940779447555542,0.015420900657773018,1
GRASIM.NS,0.5732051266357302,0.023602765053510666,0.015688708052039146,0.8949021100997925,0.017599133774638176,2
DIVISLAB.NS,0.5624869818799196,0.018195142969489098,0.009474425576627254,0.860170841217041,0.01252005435526371,3
HDFCBANK.NS,0.5558248458430171,0.041381966322660446,0.010998999699950218,0.80857253074646,0.010884534567594528,4
SIEMENS.NS,0.5554344160482287,0.06519218534231186,0.014837836846709251,0.7793629765510559,0.017668679356575012,5
AXISBANK.NS,0.553935298975557,0.03218451887369156,0.011160212568938732,0.8146985173225403,0.014465340413153172,6
BAJAJFINSV.NS,0.5514926789328456,0.037111248821020126,0.009065007790923119,0.7978922724723816,0.013012440875172615,7
DMART.NS,0.547757763043046,0.0408037044107914,0.022704903036355972,0.7941591739654541,0.04631170257925987,8
BRITANNIA.NS,0.5447126135230064,0.028336409479379654,0.011428028345108032,0.7893548607826233,0.013552425429224968,9
TATASTEEL.NS,0.5422292473725974,0.03181522712111473,0.015002979896962643,0.7800135016441345,0.013914421200752258,10
